"Pattern","Mean_NN","Variance_NN","Clark_Evans_R"
"nests",0.032301977685243,0.00030833154151261,1.00955087897199
"nests",0.032301977685243,0.00030833154151261,0.982249172474439
"nests",0.032301977685243,0.00030833154151261,0.972787444245156
"trees",0.0715474840677805,0.000100683537944001,1.48688599527283
"trees",0.0715474840677805,0.000100683537944001,1.42581431460187
"trees",0.0715474840677805,0.000100683537944001,1.47371868558344
"robberies",0.0257262771366929,0.000468513028096493,0.861768781401958
"robberies",0.0257262771366929,0.000468513028096493,0.84005511378534
"robberies",0.0257262771366929,0.000468513028096493,0.798110821598741
"truffles",0.0261814926956149,0.000275700051111569,0.851405526078553
"truffles",0.0261814926956149,0.000275700051111569,0.829294704079054
"truffles",0.0261814926956149,0.000275700051111569,0.847162310224076
